plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.02,0.99,6.66667,1.18333.4,3336.0,97.0,1344.518148447086
0.02,0.99,6.66667,1.25.1,2322.0,88.0,1316.341887093036
0.02,0.99,6.66667,1.25.2,2322.0,88.0,1316.341887093036
0.02,0.99,6.66667,1.25.3,2322.0,88.0,1316.341887093036
0.02,0.99,6.66667,1.25.4,2322.0,88.0,1316.341887093036
0.02,0.99,6.66667,1.25.5,2322.0,88.0,1316.341887093036
0.02,0.99,6.66667,1.25.6,2322.0,88.0,1316.341887093036
0.02,0.99,6.66667,1.25.7,2322.0,88.0,1316.341887093036
0.02,0.99,6.66667,1.25.8,2322.0,88.0,1316.341887093036
0.02,0.99,6.66667,1.25.9,2322.0,88.0,1316.341887093036
0.02,0.99,9.33333,1.05,,629.0,1478.414703981231
0.02,0.99,9.33333,1.11667,5872.0,114.0,1405.298517089106
0.02,0.99,9.33333,1.18333,3353.0,97.0,1369.861236289713
0.02,0.99,9.33333,1.25,2335.0,88.0,1341.679554978918
0.02,0.99,9.33333,1.05.1,,629.0,1478.414703981231
0.02,0.99,9.33333,1.11667.1,5872.0,114.0,1405.298517089106
0.02,0.99,9.33333,1.11667.2,5872.0,114.0,1405.298517089106
0.02,0.99,9.33333,1.11667.3,5872.0,114.0,1405.298517089106
0.02,0.99,9.33333,1.11667.4,5872.0,114.0,1405.298517089106
0.02,0.99,9.33333,1.11667.5,5872.0,114.0,1405.298517089106
0.02,0.99,9.33333,1.11667.6,5872.0,114.0,1405.298517089106
0.02,0.99,9.33333,1.18333.1,3353.0,97.0,1369.861236289713
0.02,0.99,9.33333,1.18333.2,3353.0,97.0,1369.861236289713
0.02,0.99,9.33333,1.18333.3,3353.0,97.0,1369.861236289713
0.02,0.99,9.33333,1.25.1,2335.0,88.0,1341.679554978918
0.02,0.99,12.0,1.05,,629.0,1503.760418025066
0.02,0.99,12.0,1.11667,5902.0,114.0,1430.634897664173
0.02,0.99,12.0,1.18333,3371.0,97.0,1395.168327862139
0.02,0.99,12.0,1.25,2347.0,88.0,1366.945230233906
0.02,0.99,12.0,1.05.1,,629.0,1503.760418025066
0.02,0.99,12.0,1.05.2,,629.0,1503.760418025066
0.02,0.99,12.0,1.05.3,,629.0,1503.760418025066
0.02,0.99,12.0,1.05.4,,629.0,1503.760418025066
0.02,0.99,12.0,1.05.5,,629.0,1503.760418025066
0.02,0.99,12.0,1.05.6,,629.0,1503.760418025066
0.02,0.99,12.0,1.05.7,,629.0,1503.760418025066
0.02,0.99,12.0,1.11667.1,5902.0,114.0,1430.634897664173
0.02,0.99,12.0,1.11667.2,5902.0,114.0,1430.634897664173
0.02,0.99,12.0,1.11667.3,5902.0,114.0,1430.634897664173
0.02,0.99,12.0,1.18333.1,3371.0,97.0,1395.168327862139
0.02,0.99,12.0,1.18333.2,3371.0,97.0,1395.168327862139
0.02,0.99,12.0,1.18333.3,3371.0,97.0,1395.168327862139
0.02,0.99,12.0,1.18333.4,3371.0,97.0,1395.168327862139
0.02,0.99,12.0,1.25.1,2347.0,88.0,1366.945230233906
0.02,0.99,12.0,1.25.2,2347.0,88.0,1366.945230233906
0.02,0.99,12.0,1.25.3,2347.0,88.0,1366.945230233906
0.02,0.99,12.0,1.25.4,2347.0,88.0,1366.945230233906
0.02,0.99,12.0,1.25.5,2347.0,88.0,1366.945230233906
0.02,0.99,12.0,1.25.6,2347.0,88.0,1366.945230233906
0.08,0.1,4.0,1.05,,141.0,2284.598452327416
0.08,0.1,4.0,1.11667,5893.0,106.0,2240.2896266872276
0.08,0.1,4.0,1.18333,3543.0,93.0,2208.1930929225346
0.08,0.1,4.0,1.25,2532.0,85.0,2181.9635712413883
0.08,0.1,4.0,1.05.1,,141.0,2284.598452327416
0.08,0.1,4.0,1.05.2,,141.0,2284.598452327416
0.08,0.1,4.0,1.05.3,,141.0,2284.598452327416
0.08,0.1,4.0,1.05.4,,141.0,2284.598452327416
0.08,0.1,4.0,1.05.5,,141.0,2284.598452327416
0.08,0.1,4.0,1.05.6,,141.0,2284.598452327416
0.08,0.1,4.0,1.11667.1,5893.0,106.0,2240.2896266872276
0.08,0.1,4.0,1.11667.2,5893.0,106.0,2240.2896266872276
0.08,0.1,4.0,1.11667.3,5893.0,106.0,2240.2896266872276
0.08,0.1,4.0,1.18333.1,3543.0,93.0,2208.1930929225346
0.08,0.1,4.0,1.18333.2,3543.0,93.0,2208.1930929225346
0.08,0.1,4.0,1.18333.3,3543.0,93.0,2208.1930929225346
0.08,0.1,4.0,1.18333.4,3543.0,93.0,2208.1930929225346
0.08,0.1,4.0,1.18333.5,3543.0,93.0,2208.1930929225346
0.08,0.1,4.0,1.18333.6,3543.0,93.0,2208.1930929225346
0.08,0.1,4.0,1.18333.7,3543.0,93.0,2208.1930929225346
0.08,0.1,4.0,1.25.1,2532.0,85.0,2181.9635712413883
0.08,0.1,4.0,1.25.2,2532.0,85.0,2181.9635712413883
0.08,0.1,4.0,1.25.3,2532.0,85.0,2181.9635712413883
0.08,0.1,4.0,1.25.4,2532.0,85.0,2181.9635712413883
0.08,0.1,6.66667,1.05,,141.0,2837.6272007331536
0.08,0.1,6.66667,1.11667,6483.0,106.0,2793.3170513089076
0.08,0.1,6.66667,1.18333,3899.0,93.0,2761.2187265478524
0.08,0.1,6.66667,1.25,2787.0,85.0,2734.9844314081515
0.08,0.1,6.66667,1.05.1,,141.0,2837.6272007331536
0.08,0.1,6.66667,1.05.2,,141.0,2837.6272007331536
0.08,0.1,6.66667,1.05.3,,141.0,2837.6272007331536
0.08,0.1,6.66667,1.05.4,,141.0,2837.6272007331536
0.08,0.1,6.66667,1.05.5,,141.0,2837.6272007331536
0.08,0.1,6.66667,1.11667.1,6483.0,106.0,2793.3170513089076
0.08,0.1,6.66667,1.11667.2,6483.0,106.0,2793.3170513089076
0.08,0.1,6.66667,1.11667.3,6483.0,106.0,2793.3170513089076
0.08,0.1,6.66667,1.11667.4,6483.0,106.0,2793.3170513089076
0.08,0.1,6.66667,1.11667.5,6483.0,106.0,2793.3170513089076
0.08,0.1,6.66667,1.18333.1,3899.0,93.0,2761.2187265478524
0.08,0.1,6.66667,1.18333.2,3899.0,93.0,2761.2187265478524
0.08,0.1,6.66667,1.18333.3,3899.0,93.0,2761.2187265478524
0.08,0.1,6.66667,1.18333.4,3899.0,93.0,2761.2187265478524
0.08,0.1,6.66667,1.25.1,2787.0,85.0,2734.9844314081515
0.08,0.1,6.66667,1.25.2,2787.0,85.0,2734.9844314081515
0.08,0.1,9.33333,1.05,,141.0,3390.6340530854645
0.08,0.1,9.33333,1.11667,7074.0,106.0,3346.2928836280507
0.08,0.1,9.33333,1.18333,4254.0,94.0,3314.097473580337
0.08,0.1,9.33333,1.25,3041.0,86.0,3287.7158689076
0.08,0.1,9.33333,1.05.1,,141.0,3390.6340530854645
0.08,0.1,9.33333,1.05.2,,141.0,3390.6340530854645
0.08,0.1,9.33333,1.05.3,,141.0,3390.6340530854645
0.08,0.1,9.33333,1.05.4,,141.0,3390.6340530854645
0.08,0.1,9.33333,1.05.5,,141.0,3390.6340530854645
0.08,0.1,9.33333,1.11667.1,7074.0,106.0,3346.2928836280507
0.08,0.1,9.33333,1.11667.2,7074.0,106.0,3346.2928836280507
0.08,0.1,9.33333,1.11667.3,7074.0,106.0,3346.2928836280507
0.08,0.1,9.33333,1.18333.1,4254.0,94.0,3314.097473580337
0.08,0.1,9.33333,1.18333.2,4254.0,94.0,3314.097473580337
0.08,0.1,9.33333,1.18333.3,4254.0,94.0,3314.097473580337
0.08,0.1,9.33333,1.18333.4,4254.0,94.0,3314.097473580337
0.08,0.1,9.33333,1.18333.5,4254.0,94.0,3314.097473580337
0.08,0.1,9.33333,1.25.1,3041.0,86.0,3287.7158689076
0.08,0.1,9.33333,1.25.2,3041.0,86.0,3287.7158689076
